epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5837,1.71442,3.59923,2.81717,0.08695,0.42855,0.76773,0.57764,0.45763,0.87796,2.42571,2.27302,0.02245,0.000362927,0.000362927,0.000362927
2,130.786,0.96837,1.6094,2.0319,0.03698,0.79507,0.90017,0.88378,0.70296,0.73483,1.17516,1.80883,0.03154,0.000721161,0.000721161,0.000721161
3,171.549,0.86277,1.09692,1.7801,0.03822,0.84091,0.91923,0.90455,0.74256,0.68217,0.92906,1.70713,0.01423,0.00106717,0.00106717,0.00106717
4,213.738,0.77823,0.89182,1.64673,0.03136,0.94694,0.96453,0.98324,0.82059,0.63378,0.68823,1.55465,0.02179,0.00105601,0.00105601,0.00105601
5,256.55,0.76092,0.80462,1.59762,0.03718,0.85839,0.95409,0.96066,0.81101,0.58838,0.68509,1.47733,0.0331,0.00103767,0.00103767,0.00103767
6,298.63,0.74259,0.76711,1.59774,0.03068,0.92313,0.97408,0.98883,0.84631,0.59993,0.60609,1.49961,0.02055,0.00101934,0.00101934,0.00101934
7,340.565,0.71407,0.71669,1.53967,0.02943,0.97969,0.98333,0.99307,0.85261,0.59046,0.51303,1.44857,0.01816,0.00100101,0.00100101,0.00100101
8,382.511,0.68114,0.65785,1.49727,0.02724,0.98316,0.99374,0.99437,0.86411,0.56344,0.48343,1.43219,0.02039,0.000982679,0.000982679,0.000982679
9,425.707,0.6455,0.61603,1.44069,0.02597,0.97421,0.99928,0.99433,0.8797,0.48411,0.43718,1.36548,0.02075,0.000964348,0.000964348,0.000964348
10,468.03,0.64833,0.61218,1.45514,0.02822,0.98771,0.9881,0.99447,0.88289,0.5027,0.42299,1.3499,0.01571,0.000946016,0.000946016,0.000946016
11,512.126,0.64102,0.60413,1.45171,0.0241,0.97636,0.97941,0.99251,0.896,0.47135,0.42882,1.35295,0.01563,0.000927685,0.000927685,0.000927685
12,555.14,0.63219,0.58817,1.41319,0.02922,0.96962,0.98498,0.99213,0.89233,0.50152,0.42969,1.34824,0.02828,0.000909353,0.000909353,0.000909353
13,599.616,0.61802,0.57348,1.43071,0.02419,0.98471,0.99798,0.99363,0.89974,0.4781,0.38906,1.31974,0.01965,0.000891022,0.000891022,0.000891022
14,642.136,0.58387,0.5423,1.39831,0.02003,0.99628,0.99637,0.99479,0.90491,0.47222,0.38073,1.32627,0.0187,0.000872691,0.000872691,0.000872691
15,685.484,0.58705,0.53006,1.38758,0.02326,0.99205,0.9956,0.99423,0.90829,0.44426,0.37403,1.30325,0.024,0.000854359,0.000854359,0.000854359
16,729.881,0.58522,0.53517,1.34165,0.02358,0.98651,0.99891,0.99358,0.91384,0.43883,0.37685,1.27226,0.02479,0.000836027,0.000836027,0.000836027
17,773.858,0.56359,0.51281,1.34977,0.02516,0.9833,0.99798,0.99439,0.90885,0.43784,0.36716,1.2523,0.02722,0.000817696,0.000817696,0.000817696
18,818.044,0.57159,0.5265,1.33583,0.02419,0.98541,0.9992,0.994,0.90812,0.44149,0.3644,1.27668,0.01797,0.000799365,0.000799365,0.000799365
19,861.429,0.5518,0.50383,1.28687,0.02478,0.98649,0.99762,0.99453,0.92606,0.39942,0.34962,1.22558,0.01897,0.000781033,0.000781033,0.000781033
20,904.712,0.54063,0.50362,1.29655,0.01962,0.98531,0.99529,0.99464,0.92247,0.42211,0.34656,1.20225,0.01313,0.000762702,0.000762702,0.000762702
21,948.057,0.53469,0.49981,1.27057,0.02193,0.98873,1,0.99465,0.92057,0.41687,0.34484,1.24554,0.02024,0.00074437,0.00074437,0.00074437
22,991.065,0.53103,0.49159,1.27103,0.02316,0.99765,0.9925,0.99466,0.92027,0.42136,0.33914,1.20972,0.01953,0.000726038,0.000726038,0.000726038
